iter	Passed	Remaining
542	16863	14192
543	16909	14174
544	16954	14154
545	17021	14153
546	17117	14176
547	17204	14190
548	17294	14207
549	17361	14205
550	17412	14189
551	17480	14186
552	17521	14162
553	17576	14150
554	17609	14119
555	17646	14091
556	17694	14072
557	17736	14049
558	17771	14019
559	17815	13997
560	17863	13978
561	17906	13955
562	17938	13923
563	17974	13894
564	18009	13866
565	18043	13835
566	18107	13828
567	18148	13802
568	18182	13772
569	18236	13757
570	18274	13730
571	18313	13703
572	18367	13687
573	18480	13715
574	18518	13687
575	18555	13658
576	18614	13646
577	18678	13637
578	18715	13608
579	18770	13592
580	18848	13592
581	18909	13581
582	18946	13551
583	18978	13519
584	19019	13492
585	19051	13459
586	19090	13431
587	19144	13414
588	19197	13395
589	19233	13365
590	19275	13339
591	19311	13309
592	19348	13279
593	19388	13251
594	19452	13240
595	19532	13240
596	19562	13205
597	19595	13172
598	19628	13140
599	19659	13106
600	19691	13073
601	19722	13039
602	19749	13002
603	19776	12965
604	19804	12930
605	19831	12893
606	19858	12857
607	19886	12821
608	19916	12787
609	19942	12750
610	19970	12714
611	19999	12679
612	20026	12642
613	20052	12606
614	20080	12570
615	20108	12534
616	20135	12499
617	20164	12464
618	20194	12430
619	20224	12395
620	20256	12362
621	20289	12330
622	20324	12299
623	20354	12264
624	20385	12231
625	20418	12198
626	20449	12165
627	20479	12131
628	20526	12107
629	20555	12072
630	20588	12039
631	20626	12010
632	20659	11978
633	20690	11944
634	20721	11910
635	20752	11877
636	20784	11844
637	20815	11810
638	20842	11775
639	20871	11739
640	20903	11706
641	20933	11673
642	20963	11639
643	20994	11605
644	21023	11571
645	21059	11540
646	21093	11508
647	21132	11479
648	21166	11447
649	21196	11413
650	21228	11380
651	21259	11347
652	21289	11313
653	21319	11279
654	21347	11244
655	21378	11210
656	21407	11176
657	21435	11141
658	21462	11105
659	21489	11070
660	21520	11037
661	21573	11014
662	21603	10981
663	21636	10948
664	21668	10915
665	21697	10881
666	21728	10848
667	21762	10816
668	21793	10782
669	21826	10750
670	21858	10717
671	21887	10683
672	21916	10649
673	21946	10614
674	21976	10581
675	22007	10548
676	22038	10514
677	22065	10479
678	22095	10445
679	22121	10410
680	22151	10376
681	22180	10342
682	22207	10306
683	22233	10271
684	22260	10236
685	22288	10201
686	22315	10167
687	22342	10132
688	22370	10097
689	22395	10061
690	22421	10026
691	22449	9992
692	22477	9957
693	22504	9922
694	22532	9888
695	22575	9860
696	22609	9828
697	22635	9793
698	22664	9759
699	22693	9725
700	22719	9690
701	22746	9655
702	22773	9621
703	22802	9587
704	22834	9554
705	22861	9520
706	22887	9485
707	22916	9451
708	22946	9417
709	22973	9383
710	23000	9349
711	23027	9314
712	23052	9279
713	23079	9244
714	23106	9210
715	23136	9176
716	23165	9143
717	23195	9110
718	23223	9076
719	23249	9041
720	23276	9007
721	23303	8972
722	23331	8938
723	23360	8905
724	23385	8870
725	23413	8836
726	23443	8803
727	23469	8768
728	23496	8734
729	23523	8700
730	23550	8666
731	23594	8638
732	23622	8604
733	23649	8570
734	23692	8542
735	23719	8508
736	23746	8474
737	23774	8440
738	23800	8405
739	23827	8371
740	23854	8337
741	23882	8304
742	23909	8270
743	23935	8236
744	23962	8201
745	23994	8169
746	24021	8135
747	24047	8101
748	24076	8068
749	24104	8034
750	24137	8002
751	24169	7970
752	24200	7938
753	24225	7903
754	24253	7870
755	24279	7836
756	24307	7802
757	24335	7769
758	24360	7735
759	24389	7702
760	24419	7669
761	24446	7635
762	24473	7601
763	24500	7568
764	24527	7534
765	24555	7501
766	24584	7468
767	24626	7439
768	24656	7406
769	24684	7373
770	24710	7339
771	24739	7306
772	24767	7273
773	24793	7239
774	24819	7205
775	24847	7172
776	24873	7138
777	24900	7105
778	24930	7072
779	24957	7039
780	24984	7005
781	25010	6972
782	25037	6938
783	25064	6905
784	25090	6872
785	25117	6838
786	25147	6806
787	25179	6774
788	25204	6740
789	25231	6707
790	25258	6673
791	25287	6641
792	25313	6607
793	25340	6574
794	25365	6540
795	25395	6508
796	25421	6475
797	25448	6441
798	25475	6408
799	25502	6375
800	25529	6342
801	25558	6309
802	25586	6277
803	25614	6244
804	25655	6214
805	25684	6182
806	25714	6149
807	25742	6116
808	25769	6083
809	25796	6051
810	25824	6018
811	25851	5985
812	25878	5952
813	25905	5919
814	25933	5886
815	25959	5853
816	25984	5820
817	26012	5787
818	26041	5755
819	26068	5722
820	26095	5689
821	26123	5656
822	26153	5624
823	26182	5592
824	26212	5560
825	26240	5527
826	26267	5494
827	26294	5462
828	26321	5429
829	26349	5396
830	26378	5364
831	26406	5332
832	26437	5300
833	26464	5267
834	26491	5234
835	26519	5202
836	26547	5169
837	26576	5137
838	26603	5105
839	26630	5072
840	26659	5040
841	26699	5010
842	26726	4977
843	26754	4945
844	26782	4912
845	26809	4880
846	26835	4847
847	26862	4814
848	26890	4782
849	26913	4749
850	26941	4717
851	26969	4684
852	26997	4652
853	27024	4620
854	27052	4587
855	27082	4555
856	27111	4523
857	27138	4491
858	27172	4460
859	27207	4429
860	27238	4397
861	27266	4365
862	27294	4332
863	27321	4300
864	27349	4268
865	27375	4235
866	27405	4204
867	27433	4171
868	27459	4139
869	27488	4107
870	27515	4075
871	27539	4042
872	27566	4010
873	27593	3977
874	27622	3946
875	27650	3913
876	27678	3881
877	27723	3852
878	27752	3820
879	27779	3788
880	27806	3755
881	27835	3724
882	27863	3692
883	27890	3659
884	27917	3627
885	27945	3595
886	27970	3563
887	27997	3531
888	28023	3498
889	28046	3466
890	28072	3434
891	28103	3402
892	28134	3371
893	28165	3339
894	28194	3307
895	28223	3275
896	28253	3244
897	28280	3212
898	28306	3180
899	28333	3148
900	28361	3116
901	28387	3084
902	28415	3052
903	28444	3020
904	28473	2988
905	28501	2957
906	28529	2925
907	28555	2893
908	28582	2861
909	28608	2829
910	28635	2797
911	28663	2765
912	28690	2733
913	28718	2702
914	28765	2672
915	28794	2640
916	28821	2608
917	28847	2576
918	28911	2548
919	28963	2518
920	29015	2488
921	29045	2457
922	29075	2425
923	29102	2393
924	29130	2361
925	29160	2330
926	29188	2298
927	29215	2266
928	29242	2234
929	29269	2203
930	29298	2171
931	29326	2139
932	29355	2108
933	29384	2076
934	29412	2044
935	29440	2013
936	29469	1981
937	29496	1949
938	29523	1917
939	29554	1886
940	29580	1854
941	29609	1823
942	29636	1791
943	29663	1759
944	29691	1728
945	29719	1696
946	29775	1666
947	29811	1635
948	29842	1603
949	29873	1572
950	29906	1540
951	29934	1509
952	29962	1477
953	29989	1446
954	30017	1414
955	30045	1382
956	30073	1351
957	30101	1319
958	30131	1288
959	30167	1256
960	30199	1225
961	30232	1194
962	30258	1162
963	30285	1130
964	30313	1099
965	30339	1067
966	30366	1036
967	30393	1004
968	30422	973
969	30451	941
970	30479	910
971	30506	878
972	30535	847
973	30566	815
974	30593	784
975	30620	752
976	30649	721
977	30678	690
978	30705	658
979	30732	627
980	30764	595
981	30814	564
982	30840	533
983	30868	501
984	30895	470
985	30922	439
986	30949	407
987	30978	376
988	31007	344
989	31034	313
990	31063	282
991	31092	250
992	31121	219
993	31149	188
994	31181	156
995	31209	125
996	31234	93
997	31260	62
998	31288	31
999	31314	0
